,Name,Total Bedroom,Total Bathroom,Apart Size,Max Capacity,Max Watt,Address,Swim Pool,Rating,Total Review,Furnish Type,Price
0,Exclusive 2BR @ The Empyreal Condominium Epicentrum Apartment By Travelio,2,2,86 sqm,Max. 3 Tamu,10600 W,"Jl. Epicentrum Tengah No.3, RT.2/RW.5, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",1,4.9,7,Full Furnished,"IDR
7,497,513
 / bulan"
1,Sweet and Warm 1BR Apartment at Sentra Timur Residence By Travelio,1,1,22 sqm,Max. 2 Tamu,1400 W,"Jl. Sentra Primer Timur, RT.5/RW.8, Pulo Gebang, Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13950",1,New,-1,Full Furnished,"IDR
3,200,000
 / bulan"
2,Vintage Studio Apartment at Nifarro Park By Travelio,Studio,1,26 sqm,Max. 2 Tamu,1300 W,"Jl. Raya Pasar Minggu RT.1/RW.1, Pejaten Timur, Pasar Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",-1,4.7,9,Full Furnished,"IDR
3,562,499
 / bulan"
3,Simple and Comfortable 2BR at City Home MOI Apartment By Travelio,2,1,45 sqm,Max. 4 Guest(s),4400 W,"Jalan Raya Boulevard Barat, RT. 18 / RW. 8, Kelapa Gading Barat, Jakarta Utara, Daerah Khusus Ibukota Jakarta 14240",-1,New,-1,Full Furnished,"IDR
3,527,880
 / bulan"
4,Comfy 2BR Callia Apartment By Travelio,2,2,64 sqm,Max. 3 Tamu,-1,"Jl. Perintis Kemerdekaan, RW.16, Kayu Putih, Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13210",1,4.7,3,Full Furnished,"IDR
5,280,649
 / bulan"
5,Cozy and Minimalist Kebagusan City 2BR Apartment By Travelio,2,1,36 sqm,Max. 3 Tamu,2200 W,"Jalan Baung III No.16, RT.1/RW.3, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",1,5,2,Full Furnished,"IDR
2,667,121
 / bulan"
6,Cozy 2BR at Empyreal Epicentrum Apartment By Travelio,2,2,86 sqm,Max. 3 Tamu,10600 W,"Jl. Epicentrum Tengah No.3, RT.2/RW.5, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",1,5,6,Full Furnished,"IDR
7,497,513
 / bulan"
7,Elegant and Spacious 1BR Apartment at Citylofts Sudirman By Travelio,1,1,88 sqm,Max. 2 Tamu,7700 W,"Jl. K.H. Mas Mansyur No.121, RT.10/RW.11, Karet Tengsin, Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220",1,5,6,Full Furnished,"IDR
10,268,538
 / bulan"
8,2BR Pancoran L'Avenue Apartment Great Facility By Travelio,2,1,102 sqm,Max. 4 Tamu,3500 W,"Jl. Raya Pasar Minggu No.15, RT.7/RW.9, Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780",1,4.9,31,Full Furnished,"IDR
13,245,817
 / bulan"
9,Spacious and Strategic 3BR Kondominium Juanda Apartment By Travelio,3,2,116 sqm,Max. 4 Tamu,6600 W,"RT.6/RW.4, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120",1,4.7,3,Full Furnished,"IDR
6,299,999
 / bulan"
10,3BR Pancoran L'Avenue Comfy Apartment By Travelio,3,2,224 sqm,Max. 6 Tamu,4400 W,"Jl. Raya Pasar Minggu No.15, RT.7/RW.9, Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780",1,4.9,68,Full Furnished,"IDR
19,724,507
 / bulan"
11,Fully Furnished with Comfortable Design Studio Citra Living Apartment By Travelio,Studio,1,22 sqm,Max. 2 Guest(s),1300 W,"Jl. Peta Barat, RT.1/RW.7, Kalideres, Jakarta Barat, Jakarta 11840",1,New,-1,Full Furnished,"IDR
3,401,721
 / bulan"
12,Cozy and Simply Studio at Kebagusan City Apartment By Travelio,Studio,1,21 sqm,Max. 2 Tamu,1300 W,"Jalan Baung III No.16, RT.1/RW.3, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",1,New,-1,Full Furnished,"IDR
2,199,999
 / bulan"
13,Simply Studio Kebagusan City Apartment By Travelio,Studio,1,22 sqm,Max. 2 Tamu,900 W,"Jalan Baung III No.16, Kebagusan, Pasar Minggu, RT.1/RW.3, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",1,4.9,5,Full Furnished,"IDR
2,707,992
 / bulan"
14,Contemporary Studio Apartment at Kebagusan City By Travelio,Studio,1,26 sqm,Max. 2 Tamu,900 W,"Jalan Baung III No.16, RT.1/RW.3, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",1,4.8,2,Full Furnished,"IDR
2,807,078
 / bulan"
15,Minimalist and Comfy Studio at Pluit Sea View Apartment By Travelio,Studio,1,21 sqm,Max. 2 Tamu,-1,"Perkantoran dan Pergudangan Muara Baru II Blok A8, Jalan Muara Baru Raya, RT. 005 / RW. 003, Penjaringan, RT.5/RW.3, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14440",1,4.7,12,Full Furnished,"IDR
2,843,249
 / bulan"
16,Best Price 1BR Apartment at Teluk Intan By Travelio,1,1,30 sqm,Max. 2 Tamu,1300 W,"Jl. Moa Perkav Teluk Gong Blok B11 B10, Pejagalan, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",1,4.9,6,Full Furnished,"IDR
2,878,949
 / bulan"
17,Kebagusan City Simple And Affordable Studio By Travelio,Studio,1,27 sqm,Max. 2 Tamu,900 W,"Jl. Baung, RT.1/RW.3, Kebagusan, Pasar Minggu, Jakarta Selatan, DKI Jakarta 12520",1,4.7,12,Full Furnished,"IDR
2,881,397
 / bulan"
18,Comfort Studio Pluit Sea View Apartment By Travelio,Studio,1,24 sqm,Max. 2 Tamu,1300 W,"Perkantoran dan Pergudangan Muara Baru II Blok A8, Jalan Muara Baru Raya, RT. 005 / RW. 003, Penjaringan, RT.5/RW.3, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14440",1,5,1,Full Furnished,"IDR
3,000,000
 / bulan"
19,Mini Studio Green Pramuka Apartment By Travelio,Studio,1,21 sqm,Max. 2 Tamu,900 W,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,4.8,9,Full Furnished,"IDR
2,110,637
 / bulan"
20,Fully Furnished with Comfortable Design 2BR Apartment Sentra Timur Residence By Travelio,2,1,28 sqm,Max. 3 Tamu,1300 W,"Jl. Sentra Primer Timur, RT.5/RW.8, Pulo Gebang, Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13950",1,5,1,Full Furnished,"IDR
3,047,249
 / bulan"
21,Minimalist Studio Room with City View @ Tifolia Apartment By Travelio,Studio,1,21 sqm,Max. 2 Tamu,900 W,"Jl. Perintis Kemerdekaan No.2, RW.16, Kayu Putih, Pulo Gadung, Kota Jakarta Timur, Jakarta 13210",1,5,3,Full Furnished,"IDR
3,072,499
 / bulan"
22,1BR Kuningan Place Apartment near Mega Kuningan Bussines Center By Travelio,1,1,39 sqm,Max. 2 Tamu,-1,"Jl. Kuningan Utama Lot No.15, RT.7/RW.1, Menteng Atas, Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430",1,New,-1,Full Furnished,"IDR
4,724,749
 / bulan"
23,City View Studio @ Green Bay Pluit Apartment By Travelio,Studio,1,21 sqm,Max. 2 Guest(s),2200 W,"Jl. Pluit Karang Ayu Barat No.B1, RT.20/RW.2, Pluit, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",1,4.8,4,Full Furnished,"IDR
2,027,803
 / bulan"
24,Comfort and Strategic Studio Westmark Apartment By Travelio,Studio,1,29 sqm,Max. 2 Tamu,1300 W,"Jalan Tanjung Duren Timur II No.30, RT.12/RW.1, Tj. Duren Sel., Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",1,New,-1,Full Furnished,"IDR
4,500,000
 / bulan"
25,Cozy and Elegant 3BR Apartment for 6 Pax at Taman Rasuna By Travelio,3,2,89 sqm,Max. 6 Tamu,-1,"Kompleks Epicentrum, Jalan H TR. Rasuna Said, RT.16/RW.1, Karet Kuningan, Menteng Atas, Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",1,New,-1,Full Furnished,"IDR
8,899,999
 / bulan"
26,Green Bay Pluit Studio Apartment with 2 Single Beds By Travelio,Studio,1,21 sqm,Max. 2 Tamu,2200 W,"Jl. Pluit Karang Ayu Barat No.B1, RT.20/RW.2, Pluit, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",1,4.9,4,Full Furnished,"IDR
2,888,627
 / bulan"
27,Blue Studio Apartment at Green Bay Pluit By Travelio,Studio,1,21 sqm,Max. 2 Tamu,2200 W,"Jalan Pluit Karang Ayu B1 Utara, Pluit, Penjaringan, RT.20/RW.2, Pluit, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",1,4.8,3,Full Furnished,"IDR
2,896,861
 / bulan"
28,Compact and Cozy Studio Room Green Bay Pluit Apartment By Travelio,Studio,1,21 sqm,Max. 2 Tamu,1300 W,"Jl. Pluit Karang Ayu Barat No.B1, RT.20/RW.2, Pluit, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",1,New,-1,Full Furnished,"IDR
2,901,377
 / bulan"
29,Minimalist and Cozy 2BR Apartment at Casablanca East Residence By Travelio,2,1,38 sqm,Max. 3 Tamu,2200 W,"Jalan Pahlawan Revolusi No.2, RT.1/RW.2, Pd. Bambu, Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13430",1,4.7,1,Full Furnished,"IDR
2,999,999
 / bulan"
30,Comfy Studio Room at Tifolia Apartment By Travelio,Studio,1,21 sqm,Max. 2 Guest(s),900 W,"Jl. Perintis Kemerdekaan No.2, RW.16, Kayu Putih, Pulo Gadung, Kota Jakarta Timur, Jakarta 13210",1,4.8,4,Full Furnished,"IDR
3,103,224
 / bulan"
31,New and Fresh Studio Apartment at Sentraland Cengkareng By Travelio,Studio,1,22 sqm,Max. 2 Tamu,1300 W,"Jl. Kapuk Cengkareng, RT.22/RW.16, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730",1,New,-1,Full Furnished,"IDR
2,610,999
 / bulan"
32,Minimalist and Fully Furnished Studio Tifolia Apartment By Travelio,Studio,1,21 sqm,Max. 2 Tamu,900 W,"Jl. Perintis Kemerdekaan No.2, RW.16, Kayu Putih, Pulo Gadung, Kota Jakarta Timur, Jakarta 13210",1,5,1,Full Furnished,"IDR
3,118,374
 / bulan"
33,Comfort and Modern Studio Tifolia Apartment By Travelio,Studio,1,21 sqm,Max. 2 Tamu,1200 W,"Jl. Perintis Kemerdekaan No.2, RW.16, Kayu Putih, Pulo Gadung, Kota Jakarta Timur, Jakarta 13210",1,4.7,3,Full Furnished,"IDR
3,149,249
 / bulan"
34,Cozy and Simply Studio Tifolia Apartment near Kelapa Gading By Travelio,Studio,1,21 sqm,Max. 2 Tamu,1300 W,"Jl. Perintis Kemerdekaan No.2, RW.16, Kayu Putih, Pulo Gadung, Kota Jakarta Timur, Jakarta 13210",1,New,-1,Full Furnished,"IDR
2,649,249
 / bulan"
35,Affordable 2BR at Sentra Timur Apartment By Travelio,2,1,36 sqm,Max. 3 Tamu,1300 W,"Jl. Sentra Primer Timur, RT.5/RW.8, Pulo Gebang, Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13950",1,5,3,Full Furnished,"IDR
3,161,919
 / bulan"
36,Simple Room at Way Seputih Residence near Central Park By Travelio,Studio,1,14 sqm,Max. 2 Tamu,1300 W,"Jl. Way Seputih V No.2, RT.11/RW.1, Tj. Duren Sel., Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",-1,4.9,20,Full Furnished,"IDR
2,100,000
 / bulan"
37,Cozy and Simply Studio Titanium Square Apartment By Travelio,Studio,1,29 sqm,Max. 2 Tamu,1300 W,"Jl. Buah No.4, RT.6/RW.4, Pekayon, Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13710",1,5,1,Full Furnished,"IDR
3,225,749
 / bulan"
38,Functional Studio Green Pramuka Apartment near Shopping Center By Travelio,Studio,1,21 sqm,Max. 2 Tamu,1300 W,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,4.8,4,Full Furnished,"IDR
3,249,999
 / bulan"
39,2BR Gading Nias Apartment near Kelapa Gading By Travelio,2,1,29 sqm,,,,-1,4.7,,Full Furnished,"IDR
3,280,000
 / bulan"
40,Homey and Comfortable Studio at Green Pramuka City Apartment By Travelio,Studio,1,21 sqm,Max. 2 Tamu,1300 W,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,New,-1,Full Furnished,"IDR
2,799,999
 / bulan"
41,Cozy Studio Green Pramuka Apartment next to Mall By Travelio,Studio,1,21 sqm,Max. 2 Tamu,900 W,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,4.8,13,Full Furnished,"IDR
3,317,371
 / bulan"
42,Minimalist Studio with City View at Green Pramuka Apartment By Travelio,Studio,1,21 sqm,Max. 2 Tamu,900 W,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,4.6,16,Full Furnished,"IDR
3,317,371
 / bulan"
43,Tifolia Studio Apartment with Double Bed near LRT Station By Travelio,Studio,1,26 sqm,Max. 2 Tamu,900 W,"Jl. Perintis Kemerdekaan No.2, RW.16, Kayu Putih, Pulo Gadung, Kota Jakarta Timur, Jakarta 13210",1,4.9,3,Full Furnished,"IDR
3,319,128
 / bulan"
44,Cozy and Stylish Studio Green Pramuka Apartment near Mall By Travelio,Studio,1,21 sqm,Max. 2 Guest(s),900 W,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,4.8,8,Full Furnished,"IDR
3,329,996
 / bulan"
45,Cozy Studio with Direct Access to Mall at Green Pramuka Apartment By Travelio,Studio,1,21 sqm,Max. 2 Tamu,900 W,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,4.9,13,Full Furnished,"IDR
3,329,996
 / bulan"
