,Name,Total Bedroom,Total Bathroom,Apart Size,Max Capacity,Max Watt,Address,Swim Pool,Furnish Type,Price
0,Exclusive 2BR @ The Empyreal Condominium Epicentrum Apartment By Travelio,2,2,86,3,10600,"Jl. Epicentrum Tengah No.3, RT.2/RW.5, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",1,Full Furnished,7497513
1,Sweet and Warm 1BR Apartment at Sentra Timur Residence By Travelio,1,1,22,2,1400,"Jl. Sentra Primer Timur, RT.5/RW.8, Pulo Gebang, Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13950",1,Full Furnished,3200000
2,Vintage Studio Apartment at Nifarro Park By Travelio,0,1,26,2,1300,"Jl. Raya Pasar Minggu RT.1/RW.1, Pejaten Timur, Pasar Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",-1,Full Furnished,3562499
3,Simple and Comfortable 2BR at City Home MOI Apartment By Travelio,2,1,45,4,4400,"Jalan Raya Boulevard Barat, RT. 18 / RW. 8, Kelapa Gading Barat, Jakarta Utara, Daerah Khusus Ibukota Jakarta 14240",-1,Full Furnished,3527880
4,Comfy 2BR Callia Apartment By Travelio,2,2,64,3,1,"Jl. Perintis Kemerdekaan, RW.16, Kayu Putih, Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13210",1,Full Furnished,5280649
5,Cozy and Minimalist Kebagusan City 2BR Apartment By Travelio,2,1,36,3,2200,"Jalan Baung III No.16, RT.1/RW.3, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",1,Full Furnished,2667121
6,Cozy 2BR at Empyreal Epicentrum Apartment By Travelio,2,2,86,3,10600,"Jl. Epicentrum Tengah No.3, RT.2/RW.5, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",1,Full Furnished,7497513
7,Elegant and Spacious 1BR Apartment at Citylofts Sudirman By Travelio,1,1,88,2,7700,"Jl. K.H. Mas Mansyur No.121, RT.10/RW.11, Karet Tengsin, Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220",1,Full Furnished,10268538
8,2BR Pancoran L'Avenue Apartment Great Facility By Travelio,2,1,102,4,3500,"Jl. Raya Pasar Minggu No.15, RT.7/RW.9, Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780",1,Full Furnished,13245817
9,Spacious and Strategic 3BR Kondominium Juanda Apartment By Travelio,3,2,116,4,6600,"RT.6/RW.4, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120",1,Full Furnished,6299999
10,3BR Pancoran L'Avenue Comfy Apartment By Travelio,3,2,224,6,4400,"Jl. Raya Pasar Minggu No.15, RT.7/RW.9, Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780",1,Full Furnished,19724507
11,Fully Furnished with Comfortable Design Studio Citra Living Apartment By Travelio,0,1,22,2,1300,"Jl. Peta Barat, RT.1/RW.7, Kalideres, Jakarta Barat, Jakarta 11840",1,Full Furnished,3401721
12,Cozy and Simply Studio at Kebagusan City Apartment By Travelio,0,1,21,2,1300,"Jalan Baung III No.16, RT.1/RW.3, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",1,Full Furnished,2199999
13,Simply Studio Kebagusan City Apartment By Travelio,0,1,22,2,900,"Jalan Baung III No.16, Kebagusan, Pasar Minggu, RT.1/RW.3, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",1,Full Furnished,2707992
14,Contemporary Studio Apartment at Kebagusan City By Travelio,0,1,26,2,900,"Jalan Baung III No.16, RT.1/RW.3, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",1,Full Furnished,2807078
15,Minimalist and Comfy Studio at Pluit Sea View Apartment By Travelio,0,1,21,2,1,"Perkantoran dan Pergudangan Muara Baru II Blok A8, Jalan Muara Baru Raya, RT. 005 / RW. 003, Penjaringan, RT.5/RW.3, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14440",1,Full Furnished,2843249
16,Best Price 1BR Apartment at Teluk Intan By Travelio,1,1,30,2,1300,"Jl. Moa Perkav Teluk Gong Blok B11 B10, Pejagalan, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",1,Full Furnished,2878949
17,Kebagusan City Simple And Affordable Studio By Travelio,0,1,27,2,900,"Jl. Baung, RT.1/RW.3, Kebagusan, Pasar Minggu, Jakarta Selatan, DKI Jakarta 12520",1,Full Furnished,2881397
