,Name,Total Bedroom,Apart Size,Max Watt,Address,Swim Pool,Furnish Type,Price,lat,lon,location,kecamatan
0,Exclusive 2BR @ The Empyreal Condominium Epicentrum Apartment By Travelio,2,86,10600,"Jl. Epicentrum Tengah No.3, RT.2/RW.5, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",1,Full Furnished,7497513,-6.2191736,106.8330712,"Jl. Epicentrum Tengah No.3, RT.2/RW.5, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940, Indonesia",Setiabudi
1,Sweet and Warm 1BR Apartment at Sentra Timur Residence By Travelio,1,22,1400,"Jl. Sentra Primer Timur, RT.5/RW.8, Pulo Gebang, Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13950",1,Full Furnished,3200000,-6.208319299999999,106.9474685,"Jl. Sentra Primer Tim., RT.5/RW.8, Pulo Gebang, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta, Indonesia",Cakung
2,Vintage Studio Apartment at Nifarro Park By Travelio,0,26,1300,"Jl. Raya Pasar Minggu RT.1/RW.1, Pejaten Timur, Pasar Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",-1,Full Furnished,3562499,-6.2667696,106.8445907,"Jl. Raya Pasar Minggu, RT.1/RW.1, Pejaten Bar., Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia",Ps. Minggu
3,Simple and Comfortable 2BR at City Home MOI Apartment By Travelio,2,45,4400,"Jalan Raya Boulevard Barat, RT. 18 / RW. 8, Kelapa Gading Barat, Jakarta Utara, Daerah Khusus Ibukota Jakarta 14240",-1,Full Furnished,3527880,-6.1529558,106.8926783,"Jl. Boulevard Bar. Raya, RT.18/RW.8, Klp. Gading Bar., Kec. Klp. Gading, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta, Indonesia",Klp. Gading
4,Comfy 2BR Callia Apartment By Travelio,2,64,3257,"Jl. Perintis Kemerdekaan, RW.16, Kayu Putih, Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13210",1,Full Furnished,5280649,-6.173485599999999,106.8912238,"Jl. Perintis Kemerdekaan, RW.16, Kayu Putih, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta, Indonesia",Pulo Gadung
5,Cozy and Minimalist Kebagusan City 2BR Apartment By Travelio,2,36,2200,"Jalan Baung III No.16, RT.1/RW.3, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",1,Full Furnished,2667121,-6.305319,106.836322,"Jl. Baung III No.16, RT.2/RW.2, Kebagusan, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520, Indonesia",Ps. Minggu
6,Cozy 2BR at Empyreal Epicentrum Apartment By Travelio,2,86,10600,"Jl. Epicentrum Tengah No.3, RT.2/RW.5, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",1,Full Furnished,7497513,-6.2191736,106.8330712,"Jl. Epicentrum Tengah No.3, RT.2/RW.5, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940, Indonesia",Setiabudi
7,Elegant and Spacious 1BR Apartment at Citylofts Sudirman By Travelio,1,88,7700,"Jl. K.H. Mas Mansyur No.121, RT.10/RW.11, Karet Tengsin, Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220",1,Full Furnished,10268538,-6.2095843,106.8196332,"10, Jl. K.H. Mas Mansyur No.121, RT.10/RW.11, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220, Indonesia",Tanah Abang
8,2BR Pancoran L'Avenue Apartment Great Facility By Travelio,2,102,3500,"Jl. Raya Pasar Minggu No.15, RT.7/RW.9, Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780",1,Full Furnished,13245817,-6.2463646,106.8431907,"Jl. Raya Pasar Minggu No.15, RT.2/RW.2, Duren Tiga, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12760, Indonesia",Pancoran
9,Spacious and Strategic 3BR Kondominium Juanda Apartment By Travelio,3,116,6600,"RT.6/RW.4, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120",1,Full Furnished,6299999,-6.165504200000001,106.8291763,"RT.6/RW.4, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia",Gambir
10,3BR Pancoran L'Avenue Comfy Apartment By Travelio,3,224,4400,"Jl. Raya Pasar Minggu No.15, RT.7/RW.9, Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780",1,Full Furnished,19724507,-6.2463646,106.8431907,"Jl. Raya Pasar Minggu No.15, RT.2/RW.2, Duren Tiga, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12760, Indonesia",Pancoran
11,Fully Furnished with Comfortable Design Studio Citra Living Apartment By Travelio,0,22,1300,"Jl. Peta Barat, RT.1/RW.7, Kalideres, Jakarta Barat, Jakarta 11840",1,Full Furnished,3401721,-6.1431628,106.6974899,"Jl. Peta Barat, RT.1/RW.7, Kalideres, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kalideres
12,Cozy and Simply Studio at Kebagusan City Apartment By Travelio,0,21,1300,"Jalan Baung III No.16, RT.1/RW.3, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",1,Full Furnished,2199999,-6.305319,106.836322,"Jl. Baung III No.16, RT.2/RW.2, Kebagusan, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520, Indonesia",Ps. Minggu
13,Simply Studio Kebagusan City Apartment By Travelio,0,22,900,"Jalan Baung III No.16, Kebagusan, Pasar Minggu, RT.1/RW.3, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",1,Full Furnished,2707992,-6.305319,106.836322,"Jl. Baung III No.16, RT.2/RW.2, Kebagusan, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520, Indonesia",Ps. Minggu
14,Contemporary Studio Apartment at Kebagusan City By Travelio,0,26,900,"Jalan Baung III No.16, RT.1/RW.3, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",1,Full Furnished,2807078,-6.305319,106.836322,"Jl. Baung III No.16, RT.2/RW.2, Kebagusan, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520, Indonesia",Ps. Minggu
15,Minimalist and Comfy Studio at Pluit Sea View Apartment By Travelio,0,21,1467,"Perkantoran dan Pergudangan Muara Baru II Blok A8, Jalan Muara Baru Raya, RT. 005 / RW. 003, Penjaringan, RT.5/RW.3, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14440",1,Full Furnished,2843249,-6.1219553,106.8038821,"5, Jl. Muara Baru No.5, RT.5/RW.3, Penjaringan, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14440, Indonesia",Penjaringan
16,Best Price 1BR Apartment at Teluk Intan By Travelio,1,30,1300,"Jl. Moa Perkav Teluk Gong Blok B11 B10, Pejagalan, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",1,Full Furnished,2878949,-6.130187599999999,106.7795851,"Jl. Moa, RT.7/RW.16, Pejagalan, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450, Indonesia",Penjaringan
17,Kebagusan City Simple And Affordable Studio By Travelio,0,27,900,"Jl. Baung, RT.1/RW.3, Kebagusan, Pasar Minggu, Jakarta Selatan, DKI Jakarta 12520",1,Full Furnished,2881397,-6.305862299999999,106.8359789,"Jl. Baung, RT.1/RW.3, Kebagusan, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia",Ps. Minggu
18,Comfort Studio Pluit Sea View Apartment By Travelio,0,24,1300,"Perkantoran dan Pergudangan Muara Baru II Blok A8, Jalan Muara Baru Raya, RT. 005 / RW. 003, Penjaringan, RT.5/RW.3, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14440",1,Full Furnished,3000000,-6.1219553,106.8038821,"5, Jl. Muara Baru No.5, RT.5/RW.3, Penjaringan, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14440, Indonesia",Penjaringan
19,Mini Studio Green Pramuka Apartment By Travelio,0,21,900,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,2110637,-6.2044577,106.8750683,"Jl. Rw. Jaya No.49, RT.12/RW.6, Pisangan Tim., Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 10570, Indonesia",Pulo Gadung
